Url,Prompt
https://a0.wfh.team/media/public/gptx/gallery/file-SzrTL7BTxKMjN0Tx0REaVyy7_1728356821_8072886.webp,A group of raccoon TrashCats walking down a dark alley under the light of a full moon They are dressed in punk rock leather jackets with studs and patches surrounded by broken bottles greasy wrappers and trash cans Neon signs on the walls say Live Fast Eat Trash The alley is gritty and the ground is littered with trash The trees and alley walls seem to close in around them creating an eerie and ominous atmosphere 
https://a0.wfh.team/media/public/gptx/gallery/file-1JtkFtzK7r3Rlm5IBVeP7Pos_1728356735_7336779.webp,Uploaded image 
https://a0.wfh.team/media/public/gptx/gallery/file-0KITJrqjjsyicYhJm8Gzc9RG_1728356631_2332063.webp,A dark alley filled with TrashCats greasy wrappers and broken bottles under a mystical glowing full moon The TrashCats are on a journey marching ever forward neath a wooded shrine at the start of the alley with shadows of trees looming over them The phrase Primal Night Give It Sight glows faintly in the trees behind them The TrashCats look determined dressed in punk gear leather jackets and spiked accessories heading down a road that twists into darkness Neon signs in the background flicker Live Fast Eat Trash and Love is Rubbish The mood is mysterious and gritty with glowing mystical energy 
https://a0.wfh.team/media/public/gptx/gallery/file-OXvaRGJjcpUWI5jVQjkcZ3Oa_1728356159_3784692.webp,Uploaded image 
https://a0.wfh.team/media/public/gptx/gallery/file-H5TpegnzU8rf7Jad0hAAUjFd_1728356157_6459172.webp,Uploaded image 
https://a0.wfh.team/media/public/gptx/gallery/file-CRZ7eiKtRnGtDI5aBp2TCQ20_1728356157_0699904.webp,Uploaded image 
https://a0.wfh.team/media/public/gptx/gallery/file-I0ZLJ8Lht6wcWM2NaUCuPmYp_1728356158_5589185.webp,Uploaded image 
https://a0.wfh.team/media/public/gptx/gallery/file-Ng59JrPlWr9jXuN4qGyqjKgq_1728356156_876434.webp,Uploaded image 
https://a0.wfh.team/media/public/gptx/gallery/file-ydvVe8oeHw7u12IpcFWWwM2M_1728356094_8776877.webp,A quieter moment in a dark alley where TrashCats reflect on their journey The alley is filled with broken bottles greasy wrappers and glowing symbols painted on the walls One TrashCat looks into a cracked mirror leaning against a dumpster seeing a vision of their journey down the Witches Road The neon lights cast a soft glow and the reflection in the mirror shows swirling mist skulls and faint ghostly figures The mood is mysterious and introspective Typography in subtle glowing letters says Blood and Tears and Bones 
https://a0.wfh.team/media/public/gptx/gallery/file-GNY8RZZQcAWTYXXNXZJy72R8_1728356043_933473.webp,A dark trashfilled alley leading to a glowing mystical portal at the end The portal is made of twisted metal bones and glowing runes and it seems to shimmer with ancient magic TrashCats approach it cautiously dragging greasy wrappers cans and broken bottles behind them Graffiti covers the walls with symbols of dark magic and occult runes Neon lights flicker casting eerie shadows and the ground is littered with broken trash The atmosphere is tense and mysterious as the TrashCats prepare to cross into another world Typography in bold glowing letters reads The Time Has Come to Go 
https://a0.wfh.team/media/public/gptx/gallery/file-rNvFWbkslXjgj40dGm4rhBDt_1728356026_3112621.webp,A dark alley filled with greasy wrappers broken bottles and trash cans overflowing with debris TrashCats are gathered around a glowing pentagram drawn in neon on the dirty ground Graffiti covers the walls with symbols of skulls bones and occult markings The air is filled with mist and the faint flicker of neon signs A broken shopping cart leans against a dumpster adding to the chaotic trashfilled scene The atmosphere is mysterious and grimy with hints of magic Typography in a bold distressed font says Familiar by thy side on the wall behind them 
https://a0.wfh.team/media/public/gptx/gallery/file-2Pvb5nopleD6qrSGlgB3HHVs_1728355944_701438.webp,A dark eerie alley under the light of a large full moon TrashCats are marching forward beneath a towering graffiticovered shrine Their glowing green eyes reflect the moonlight as they hold torches and walk along a path littered with bones and occult symbols The air is thick with mist and the alley walls are adorned with cryptic graffiti featuring pentagrams skulls and glowing runes Neon signs flicker in the distance casting a sinister glow The scene is filled with a sense of dark magic mystery and an occult journey Typography in bold cracked font says Down the Witches Road 
